,fmom_1m,fmom_12_2,fmom_12m,fvol_12m,post_pub,years_since_pub
1947-12-31,-0.007109466393987608,-0.026915814035864113,-0.0044383807529049185,0.006939209349615832,0.0,0.0
1948-01-31,-0.006896234929986042,-0.026095661703339237,-0.004277587218947855,0.006731037744048119,0.0,0.0
1948-02-29,-0.024297861071711228,-0.02529061178544437,-0.004124877351246021,0.006529098870094338,0.0,0.0
1948-03-31,0.023728707189748517,-0.024506195925235754,-0.003980021208319248,0.006333217859063098,0.0,0.0
1948-04-30,0.008432476949161305,-0.023760561433516247,-0.003894110342614396,0.006143072480416762,0.0,0.0
1948-05-31,0.00817931063935465,-0.0230177576243545,-0.0037511178466260787,0.0059588607840443935,0.0,0.0
1948-06-30,0.007925024373794923,-0.01950347689819682,-0.003941897584870023,0.0057774002870003924,0.0,0.0
1948-07-31,0.007690193558828705,-0.018489670895360848,-0.0036698251948906226,0.0056057781416642425,0.0,0.0
1948-08-31,0.00746145471038493,-0.017858585843355854,-0.003942156856919706,0.005438541347615892,0.0,0.0
1948-09-30,0.007237958074570977,-0.016939462170813033,-0.0035553307076016385,0.005275767457762416,0.0,0.0
1948-10-31,0.007020677010706683,-0.016400366556541094,-0.0034369920366891715,0.005117467461095718,0.0,0.0
1948-11-30,0.006884754191177294,-0.015679825177388286,-0.0031203338803675595,0.004964456216492057,0.0,0.0
1948-12-31,0.006677981597367653,-0.015210024077177397,-0.0030759893270700207,0.004815261402415886,0.0,0.0
1949-01-31,0.006475502360401354,-0.014130513803608228,-0.002591882678125422,0.004671248270642144,0.0,0.0
1949-02-28,0.006280995836633304,-0.013682367141850093,-0.002525501495443905,0.004530988215575216,0.0,0.0
1949-03-31,0.0011405887449212225,-0.013227815593028287,-0.002423649486129955,0.004395084909203218,0.0,0.0
1949-04-30,0.00110643152820284,-0.012802228514281436,-0.002328202656956039,0.004263279772101075,0.0,0.0
1949-05-31,0.0010731377568409313,-0.012295512472129386,-0.0022384870936933026,0.004135186387518714,0.0,0.0
1949-06-30,0.0010404704094301557,-0.011801749945132138,-0.0023098375785502987,0.004010507005554197,0.0,0.0
1949-07-31,0.0010092055959439626,-0.011070575590796597,-0.002181922931980236,0.0038895307701664336,0.0,0.0
1949-08-31,-0.009633191075050502,-0.010737633291791853,-0.0021759187062299432,0.0037725101454400985,0.0,0.0
